phone,email,credit_score,age_group,family_background,income,employment_type,property_type,loan_amount,down_payment,property_search_frequency,budget_tool_usage,listing_saves,email_clicks,whatsapp_interactions,time_to_purchase,emi_affordability,job_stability,intent_score,high_intent
+91-9730243887,lead71@example.com,589,36-50,Married,879650,Self-Employed,Apartment,5412957,1610535,6,1,2,2,3,1,2.03,2.2,78,True
+91-8566942273,lead72@example.com,540,18-25,Single,284539,Salaried,Apartment,2107799,662712,4,1,7,2,7,12,1.69,0.3,58,False
+91-7698594025,lead73@example.com,573,18-25,Married,344841,Salaried,Apartment,2501322,535787,1,4,1,4,2,1,1.72,0.1,47,False
+91-8589915144,lead74@example.com,627,26-35,Married,404060,Salaried,Villa,2904196,959715,4,2,9,2,3,1,1.74,0.1,65,True
+91-8525876051,lead75@example.com,672,26-35,Single,739568,Salaried,Apartment,4506767,1097751,3,1,4,1,0,16,2.05,3.1,65,True
+91-7899825838,lead76@example.com,600,26-35,Married with Kids,669695,Salaried,Commercial,4559841,1665899,4,2,6,1,4,5,1.84,0.7,78,True
+91-9878380452,lead77@example.com,645,26-35,Married,406449,Freelancer,Plot,2789047,670103,1,2,7,4,5,2,1.82,0.7,70,True
+91-8146660997,lead78@example.com,667,36-50,Married,1058408,Salaried,Apartment,8406111,2366461,5,4,5,4,3,1,1.57,15.8,100,True
+91-9935814872,lead79@example.com,596,26-35,Single,781570,Self-Employed,Plot,5674421,2007522,4,1,3,0,4,4,1.72,0.2,60,True
+91-9783290795,lead80@example.com,584,26-35,Married with Kids,700636,Self-Employed,Apartment,4123855,1016434,5,1,7,3,5,4,2.12,0.5,75,True
+91-7306671447,lead81@example.com,587,26-35,Married,688991,Salaried,Villa,4015793,1370973,2,2,4,4,3,3,2.14,5.0,70,True
+91-9616197747,lead82@example.com,646,36-50,Single,928726,Salaried,Villa,6764017,2639011,2,2,6,1,4,12,1.72,3.2,62,True
+91-9727210979,lead83@example.com,709,36-50,Married with Kids,954768,Salaried,Apartment,5677897,1867838,4,1,4,1,0,0,2.1,2.7,83,True
+91-7735034881,lead84@example.com,596,26-35,Married,598073,Salaried,Villa,4719101,1433693,6,0,4,2,2,2,1.58,5.2,64,True
+91-9294113287,lead85@example.com,579,26-35,Married,667696,Salaried,Apartment,4308133,1505644,1,6,3,3,4,3,1.94,12.5,66,True
+91-8051454923,lead86@example.com,615,26-35,Married,736637,Business Owner,Villa,5800141,1774448,3,2,3,1,1,31,1.59,12.6,43,False
+91-7701808367,lead87@example.com,575,51+,Single,1054168,Freelancer,Commercial,6652844,2120342,1,3,8,2,3,0,1.98,1.3,78,True
+91-8985392498,lead88@example.com,692,51+,Single,1651759,Self-Employed,Apartment,11870512,2600590,1,2,4,2,6,9,1.74,1.3,71,True
+91-8629748727,lead89@example.com,596,26-35,Married with Kids,673076,Salaried,Villa,5284577,1671640,4,4,5,2,1,16,1.59,3.5,61,True
+91-8159417075,lead90@example.com,692,26-35,Married with Kids,1055557,Business Owner,Apartment,7350848,1693040,4,0,1,2,3,1,1.79,0.0,77,True
+91-9748778024,lead91@example.com,682,36-50,Married with Kids,727680,Salaried,Apartment,5421468,1281216,6,1,6,2,3,4,1.68,2.3,74,True
+91-9955633092,lead92@example.com,709,51+,Married with Kids,1635857,Self-Employed,Villa,11588064,4007108,3,1,9,2,1,7,1.76,10.5,67,True
+91-9392080953,lead93@example.com,634,36-50,Married with Kids,846445,Salaried,Commercial,6056624,2256262,3,0,6,2,2,6,1.75,0.3,59,False
+91-7943239974,lead94@example.com,650,26-35,Married,447764,Salaried,Apartment,3223049,905372,2,2,5,1,2,2,1.74,2.8,51,False
+91-9940395823,lead95@example.com,639,51+,Single,1215494,Salaried,Villa,7341068,2051993,2,1,4,2,4,40,2.07,1.4,73,True
+91-8392783743,lead96@example.com,592,36-50,Married with Kids,1198008,Self-Employed,Apartment,9102810,3544149,1,3,4,2,4,22,1.65,0.3,63,True
+91-7240251661,lead97@example.com,571,18-25,Married with Kids,436923,Business Owner,Apartment,3132891,632251,4,0,3,1,2,3,1.74,10.6,35,False
+91-7983753977,lead98@example.com,668,36-50,Married with Kids,961181,Salaried,Commercial,7179018,2774992,4,1,7,3,5,10,1.67,1.7,85,True
+91-7137869475,lead99@example.com,584,26-35,Married,595458,Salaried,Apartment,4147681,1045411,1,0,5,1,3,3,1.79,8.8,59,False
+91-8354860540,lead100@example.com,591,36-50,Married,1092253,Business Owner,Commercial,7118112,2763423,2,2,9,2,1,10,1.92,10.5,59,False
+91-8722989659,lead101@example.com,544,18-25,Single,302746,Salaried,Plot,1609412,393456,3,1,7,1,5,11,2.35,0.6,49,False
+91-8149938334,lead102@example.com,620,26-35,Single,823014,Self-Employed,Apartment,4619536,1393072,1,1,5,5,3,23,2.23,6.4,64,True
+91-7284277889,lead103@example.com,681,26-35,Married with Kids,890471,Business Owner,Apartment,7038461,1501394,1,2,5,0,5,1,1.58,8.7,69,True
+91-7906164396,lead104@example.com,633,26-35,Single,789873,Business Owner,Plot,5765720,1826249,4,3,10,2,2,2,1.71,4.4,70,True
+91-9436019774,lead105@example.com,658,26-35,Single,828273,Self-Employed,Apartment,6119882,1556832,4,1,8,0,3,3,1.69,0.1,87,True
+91-8351531223,lead106@example.com,679,36-50,Single,714698,Salaried,Apartment,5498716,2076445,6,0,7,0,2,5,1.62,7.7,61,True
+91-7913224047,lead107@example.com,716,36-50,Single,996080,Salaried,Plot,5096756,1872670,7,2,6,6,5,8,2.44,5.9,100,True
+91-9815087637,lead108@example.com,742,36-50,Married with Kids,1084631,Salaried,Apartment,6006761,2048472,3,0,9,3,2,0,2.26,2.8,86,True
+91-9144181937,lead109@example.com,675,36-50,Married with Kids,943509,Self-Employed,Apartment,5528547,1993196,1,5,6,1,1,3,2.13,0.9,85,True
+91-8699226064,lead110@example.com,548,18-25,Single,214889,Salaried,Commercial,1589080,421504,2,1,4,2,1,4,1.69,4.1,42,False
+91-9761027762,lead111@example.com,608,26-35,Married,630110,Salaried,Villa,3306075,965099,2,3,9,3,4,4,2.38,7.2,68,True
+91-8970753705,lead112@example.com,662,18-25,Single,316165,Freelancer,Apartment,2045234,672777,2,1,3,2,4,19,1.93,1.4,49,False
+91-7613628803,lead113@example.com,593,36-50,Married with Kids,773265,Salaried,Villa,5893994,1473108,1,4,5,1,3,8,1.64,0.8,56,False
+91-8137651678,lead114@example.com,674,26-35,Married,547375,Salaried,Commercial,4095822,959002,0,1,5,0,3,0,1.67,3.0,58,False
+91-7599707677,lead115@example.com,622,36-50,Married,949426,Salaried,Apartment,6885532,1549914,5,0,3,1,0,26,1.72,5.5,57,False
+91-8059257080,lead116@example.com,692,51+,Married,1648597,Self-Employed,Villa,12927448,4873273,4,4,3,3,2,0,1.59,0.5,84,True
+91-9411057787,lead117@example.com,779,51+,Married,1259678,Salaried,Apartment,9137116,3205059,4,0,7,2,2,14,1.72,0.6,74,True
+91-9314889832,lead118@example.com,570,36-50,Married,1017051,Salaried,Apartment,6408981,1492530,3,6,2,2,2,31,1.98,1.2,67,True
+91-8128466620,lead119@example.com,558,36-50,Single,957700,Self-Employed,Villa,7484379,2722428,4,0,3,2,4,5,1.6,4.9,72,True
+91-9510777721,lead120@example.com,619,26-35,Single,723381,Salaried,Apartment,4097028,1131592,4,1,4,1,4,6,2.21,0.6,65,True
+91-8840109255,lead121@example.com,700,36-50,Single,923545,Salaried,Villa,6874888,2216231,2,2,3,1,0,6,1.68,0.9,64,True
+91-9506254832,lead122@example.com,632,36-50,Married,953032,Salaried,Villa,7436426,2850264,5,3,8,2,1,2,1.6,0.0,87,True
+91-8715412119,lead123@example.com,696,26-35,Married with Kids,796177,Business Owner,Commercial,4616064,1837500,0,3,5,1,3,0,2.16,4.0,72,True
+91-8554762903,lead124@example.com,552,18-25,Single,330986,Self-Employed,Villa,1678472,615981,2,3,3,1,2,10,2.46,1.5,48,False
+91-7941975480,lead125@example.com,656,26-35,Married with Kids,644300,Salaried,Commercial,3319253,946731,3,2,4,1,3,4,2.43,0.9,65,True
+91-7594130308,lead126@example.com,581,26-35,Married with Kids,664909,Self-Employed,Apartment,4044791,1139381,1,0,7,1,5,1,2.05,4.0,71,True
+91-9188398760,lead127@example.com,619,26-35,Single,388666,Freelancer,Apartment,2617053,976737,3,2,7,1,4,3,1.86,6.0,62,True
+91-9119634399,lead128@example.com,616,18-25,Single,221875,Freelancer,Villa,1559664,497296,4,2,4,0,2,15,1.78,1.3,42,False
+91-7390452952,lead129@example.com,556,26-35,Married,596098,Salaried,Apartment,3960735,930493,3,4,5,2,7,2,1.88,1.2,84,True
+91-7202363285,lead130@example.com,685,36-50,Married with Kids,764307,Salaried,Apartment,5346461,1664437,1,0,7,0,3,4,1.79,9.5,63,True
+91-7470939445,lead131@example.com,537,26-35,Single,655405,Salaried,Apartment,3749509,821116,1,2,8,2,2,14,2.18,6.0,63,True
+91-7656448479,lead132@example.com,644,36-50,Married with Kids,722718,Salaried,Villa,3669293,942671,3,0,5,0,2,1,2.46,5.1,67,True
+91-9694860228,lead133@example.com,639,26-35,Married,717663,Self-Employed,Plot,5160479,1408627,3,3,4,3,3,7,1.74,10.5,69,True
+91-7687117441,lead134@example.com,565,26-35,Single,645816,Salaried,Villa,5162174,1498826,2,3,7,3,1,5,1.56,0.9,61,True
+91-9922644564,lead135@example.com,491,18-25,Married,333822,Salaried,Plot,2473299,761914,1,2,3,0,4,5,1.69,5.0,50,False
+91-8813163240,lead136@example.com,519,36-50,Married with Kids,965396,Salaried,Commercial,6508639,2520063,4,1,5,0,3,3,1.85,0.2,71,True
+91-9561557300,lead137@example.com,649,26-35,Married,770184,Self-Employed,Villa,5663334,1810639,4,2,4,1,2,1,1.7,1.5,66,True
+91-7272849424,lead138@example.com,566,18-25,Married,354438,Salaried,Apartment,1926720,580211,1,5,1,1,1,23,2.3,9.2,40,False
+91-8652563013,lead139@example.com,571,26-35,Single,578134,Salaried,Villa,4606875,1551885,3,0,0,3,1,4,1.57,1.0,42,False
+91-8639042338,lead140@example.com,495,18-25,Married with Kids,253771,Salaried,Villa,1449232,317951,4,1,7,3,4,10,2.19,8.2,56,False
+91-9559321289,lead141@example.com,565,26-35,Married,642439,Salaried,Villa,3468549,803827,6,2,6,1,3,9,2.32,4.2,78,True
+91-9010258946,lead142@example.com,620,36-50,Married with Kids,1008334,Self-Employed,Apartment,6309449,2018139,2,2,3,1,5,0,2.0,5.9,76,True
+91-9272528809,lead143@example.com,619,26-35,Married with Kids,618481,Salaried,Villa,3427841,869847,1,2,3,1,2,10,2.26,0.1,57,False
+91-8079815404,lead144@example.com,706,36-50,Married with Kids,1060676,Self-Employed,Commercial,7099924,2361473,6,2,5,3,4,9,1.87,4.4,84,True
+91-9376087131,lead145@example.com,536,36-50,Married with Kids,857376,Salaried,Apartment,5386383,1772355,3,3,7,1,4,11,1.99,9.7,75,True
+91-7049310608,lead146@example.com,699,36-50,Single,875808,Self-Employed,Commercial,5694278,1874243,2,2,8,3,2,15,1.92,1.9,73,True
+91-9921794983,lead147@example.com,625,26-35,Married with Kids,704999,Salaried,Apartment,4803117,1403373,4,4,3,3,4,0,1.83,0.1,82,True
+91-7491995979,lead148@example.com,506,26-35,Married with Kids,628100,Salaried,Apartment,3970850,1492972,2,2,7,2,5,15,1.98,2.1,51,False
+91-9927923735,lead149@example.com,599,18-25,Married with Kids,419352,Business Owner,Villa,3265254,934212,2,3,3,1,3,6,1.61,5.7,44,False
+91-9306270004,lead150@example.com,643,36-50,Married with Kids,941603,Salaried,Plot,6073058,2413306,5,2,5,1,1,1,1.94,4.1,69,True
+91-8146005448,lead151@example.com,578,26-35,Married with Kids,650328,Business Owner,Apartment,5111717,1083916,2,1,3,3,2,11,1.59,1.5,49,False
+91-9752909971,lead152@example.com,585,36-50,Single,804115,Salaried,Plot,4717669,1299296,2,1,6,0,2,3,2.13,15.6,69,True
+91-8461042543,lead153@example.com,602,18-25,Single,320605,Salaried,Commercial,1707559,676623,4,2,5,2,3,2,2.35,1.4,58,False
+91-7479112937,lead154@example.com,611,26-35,Married with Kids,850903,Self-Employed,Villa,4775493,1403078,2,3,4,1,1,0,2.23,7.3,72,True
+91-8260573448,lead155@example.com,609,18-25,Married,433829,Business Owner,Apartment,3320284,1031940,2,2,6,1,4,26,1.63,4.7,52,False
+91-8867302554,lead156@example.com,679,26-35,Married,1003928,Business Owner,Villa,6049219,1734546,8,0,6,2,3,27,2.07,10.0,83,True
+91-7679282378,lead157@example.com,598,26-35,Married with Kids,654831,Salaried,Villa,3516676,848208,0,0,7,4,1,13,2.33,0.6,41,False
+91-8948728483,lead158@example.com,617,26-35,Married with Kids,716458,Salaried,Apartment,4313088,1612792,3,1,5,3,5,0,2.08,6.5,70,True
+91-7013938521,lead159@example.com,686,26-35,Married,635421,Self-Employed,Apartment,5025837,1736558,5,3,4,2,4,5,1.58,1.2,74,True
+91-8131247330,lead160@example.com,682,36-50,Single,1146506,Salaried,Apartment,7400762,1606562,4,1,3,2,2,0,1.94,9.0,84,True
+91-9150000991,lead161@example.com,692,26-35,Married,578742,Salaried,Apartment,3470878,913211,1,0,11,2,4,3,2.08,9.6,83,True
+91-7767303988,lead162@example.com,628,26-35,Married,589565,Salaried,Apartment,4014729,866952,3,4,4,4,4,3,1.84,3.2,73,True
+91-9180476188,lead163@example.com,672,26-35,Married with Kids,569438,Salaried,Villa,4359456,947490,4,6,7,1,6,3,1.63,10.2,88,True
+91-7457031004,lead164@example.com,675,26-35,Married with Kids,541184,Salaried,Apartment,3693386,1067073,2,2,3,1,4,4,1.83,0.0,74,True
+91-9685643886,lead165@example.com,623,18-25,Married,290875,Freelancer,Apartment,2080280,658229,6,0,4,3,2,2,1.75,1.9,53,False
+91-8281810600,lead166@example.com,619,36-50,Married,1047956,Salaried,Apartment,6722514,1650352,3,2,5,2,0,0,1.95,7.4,68,True
+91-9744267175,lead167@example.com,615,36-50,Married,733808,Salaried,Plot,4848001,1432083,7,1,4,2,1,1,1.89,2.9,68,True
+91-9180395476,lead168@example.com,629,26-35,Married,584031,Salaried,Apartment,3920347,1497255,0,2,3,1,5,4,1.86,0.9,70,True
+91-9615507143,lead169@example.com,685,26-35,Married,715133,Self-Employed,Villa,3941380,1091380,4,3,3,4,4,10,2.27,1.4,79,True
+91-7854316681,lead170@example.com,569,18-25,Married,337975,Salaried,Plot,2669963,770785,3,1,2,2,3,4,1.58,4.3,52,False
+91-7656439677,lead171@example.com,750,36-50,Single,1255158,Self-Employed,Apartment,7070193,2604124,0,2,3,2,1,3,2.22,0.7,84,True
+91-8605947756,lead172@example.com,609,26-35,Married with Kids,629364,Salaried,Apartment,4949324,1781893,1,1,7,1,4,10,1.59,1.7,63,True
+91-7693847829,lead173@example.com,671,36-50,Married with Kids,839730,Salaried,Villa,4592560,1609047,3,4,2,1,2,3,2.29,0.7,87,True
+91-9316615266,lead174@example.com,738,51+,Married with Kids,1595863,Self-Employed,Apartment,11655058,2596667,5,0,3,1,3,0,1.71,6.3,65,True
+91-9277851678,lead175@example.com,576,18-25,Married with Kids,603155,Business Owner,Plot,3219154,675577,1,1,7,2,2,7,2.34,10.3,58,False
+91-7002456273,lead176@example.com,681,36-50,Married with Kids,778476,Freelancer,Apartment,5404205,1219566,4,3,4,2,4,6,1.8,3.8,70,True
+91-9572447412,lead177@example.com,485,18-25,Married with Kids,243360,Salaried,Villa,1272997,425375,5,1,4,2,2,5,2.39,1.0,45,False
+91-8392239675,lead178@example.com,581,26-35,Single,609573,Salaried,Villa,4546496,1206402,3,4,3,4,2,11,1.68,7.6,68,True
+91-9098545541,lead179@example.com,529,18-25,Married with Kids,488554,Business Owner,Apartment,3846837,795082,3,1,6,2,4,3,1.59,33.1,60,True
+91-7083651970,lead180@example.com,603,26-35,Married,631428,Salaried,Villa,3660425,1387898,3,4,2,1,2,1,2.16,5.2,64,True
+91-7480468219,lead181@example.com,607,36-50,Married,1273379,Self-Employed,Villa,6515909,1896868,5,4,6,2,5,0,2.44,0.9,98,True
+91-8558990517,lead182@example.com,657,51+,Married with Kids,1787964,Self-Employed,Apartment,9723470,3545184,3,0,2,3,5,22,2.3,10.0,72,True
+91-8320763135,lead183@example.com,575,18-25,Married,386300,Business Owner,Apartment,3068827,1000243,4,0,2,4,2,8,1.57,0.6,39,False
+91-8028439863,lead184@example.com,660,26-35,Married,457796,Freelancer,Apartment,3382736,1079373,5,0,2,2,5,11,1.69,0.5,51,False
+91-7248786714,lead185@example.com,716,26-35,Single,827394,Salaried,Villa,4715366,1709925,2,3,6,3,6,7,2.19,1.4,90,True
+91-8034535593,lead186@example.com,765,51+,Married,1072550,Freelancer,Villa,5779053,1590188,2,2,5,3,2,8,2.32,0.8,92,True
+91-9436779490,lead187@example.com,642,36-50,Married with Kids,1514679,Business Owner,Apartment,12062972,3352034,3,1,1,3,0,6,1.57,14.0,52,False
+91-7338258951,lead188@example.com,563,18-25,Single,367578,Self-Employed,Villa,2178549,596366,6,2,8,1,2,38,2.11,0.1,57,False
+91-7367878761,lead189@example.com,637,36-50,Married with Kids,916769,Salaried,Villa,4782457,1611148,3,1,5,2,5,4,2.4,4.0,64,True
+91-9087313121,lead190@example.com,580,18-25,Married,493851,Business Owner,Plot,2660232,915118,2,2,6,1,3,13,2.32,22.0,50,False
+91-7297265480,lead191@example.com,585,26-35,Married,902907,Business Owner,Apartment,6808240,2494459,3,2,4,1,1,3,1.66,6.3,51,False
